date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:11:31	149/149	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Mar%202023%2018:41:31%20GMT	https://aqross.app/robots.txt		(from )
00:11:31	16024/16024	---M--	200	added ('OK')	text/html	etag:W/%223e98-186e6ff7dc8%22	https://aqross.app/	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/index.html	(from )
00:11:32	5259/5259	---M--	200	added ('OK')	image/png	etag:W/%22148b-182741cc9e0%22	https://aqross.app/favicons/apple-touch-icon.png	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/favicons/apple-touch-icon.png	(from https://aqross.app/)
00:11:32	1821/1821	---M--	200	added ('OK')	image/png	etag:W/%2271d-182741cc9e0%22	https://aqross.app/favicons/favicon-32x32.png	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/favicons/favicon-32x32.png	(from https://aqross.app/)
00:11:32	973/973	---M--	200	added ('OK')	image/png	etag:W/%223cd-182741cc9e0%22	https://aqross.app/favicons/favicon-16x16.png	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/favicons/favicon-16x16.png	(from https://aqross.app/)
00:11:32	456/456	---M--	200	added ('OK')	application/manifest+json	etag:W/%221c8-182741cd1b0%22	https://aqross.app/favicons/site.webmanifest	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/favicons/site.webmanifest	(from https://aqross.app/)
00:11:32	13728/13728	---M--	200	added ('OK')	image/svg+xml	etag:W/%2235a0-182741cd1b0%22	https://aqross.app/favicons/safari-pinned-tab.svg	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/favicons/safari-pinned-tab.svg	(from https://aqross.app/)
00:11:33	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:W/%223aee-182741cd1b0%22	https://aqross.app/favicons/favicon.ico	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/favicons/favicon.ico	(from https://aqross.app/)
00:11:33	255/255	---M--	200	added ('OK')	application/xml	etag:W/%22ff-182741cc9e0%22	https://aqross.app/favicons/browserconfig.xml	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/favicons/browserconfig.xml	(from https://aqross.app/)
00:11:34	73625/73625	---M--	200	added ('OK')	text/css	etag:W/%2211f99-1783b640550%22	https://aqross.app/css/all.css	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/css/all.css	(from https://aqross.app/)
00:11:34	1148/1148	---M--	200	added ('OK')	image/svg+xml	etag:W/%2247c-183dcee0938%22	https://aqross.app/images/EU.svg	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/images/EU.svg	(from https://aqross.app/)
